ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Selecciona el módulo correspondiente para realizar su valoración;¿Se te ha informado de los resultados de aprendizaje del módulo profesional?;¿Se te ha informado de los contenidos del módulo profesional y de su distribución por trimestres/evaluaciones?;¿Se te ha informado del sistema de evaluación y de calificación empleados en el módulo profesional?;¿Se te ha informado de los criterios de evaluación, de su ponderación y calificación?;¿Se te han comunicado con suficiente antelación las fechas de realización y entrega de tareas y pruebas objetivas?;¿Se ha informado del nº de faltas con las que se pierde el derecho a la evaluación continua y de sus efectos?;VALORACIÓN DEL -BLOQUE 1- INFORMACIÓN SOBRE EL MÓDULO PROFESIONAL.  ;OBSERVACIONES -BLOQUE 1- INFORMACIÓN SOBRE EL MÓDULO PROFESIONAL. (opcional);¿El profesor/a asiste con puntualidad a las clases?;¿El profesor/a prepara bien sus clases?;¿El profesor/a se explica con claridad y te permite seguir bien las clases?;¿El profesor/a establece en cada U.T los objetivos a alcanzar?;¿El profesor/a relaciona, entre sí, las diferentes UU.T del módulo?;¿El profesor/a domina los contenidos del módulo que imparte?;¿El profesor/a muestra interés y le gusta enseñar los contenidos del módulo que imparte?;¿La asistencia a clase te ayuda, significativamente, a comprender los contenidos del módulo?;¿El profesor/a sabe conectar y motivar al alumnado?;¿El profesor/a responde/aclara las preguntas/dudas planteadas?;¿El profesor/a mantiene un clima respetuoso y de trabajo en clase?;¿El profesor/a promueve la participación del alumnado en clase?;VALORACIÓN DEL -BLOQUE 2-     CLASES – PROFESOR/A.;OBSERVACIONES -BLOQUE 2- CLASES – PROFESOR/A. (opcional);¿Consideras práctica y útil el Aula virtual para impartir las clases?;¿Los medios empleados en clase te ayudan a entender lo explicado?;¿Las actividades de las UU.T te ayudan a comprender, más y mejor, los contenidos?;¿Las actividades, trabajos, prácticas de las UU.T te ayudan a  preparar los exámenes?;VALORACIÓN DEL -BLOQUE 3-    RECURSOS EMPLEADOS EN EL MÓDULO PROFESIONAL.;OBSERVACIONES - BLOQUE 3 - RECURSOS EMPLEADOS EN EL MÓDULO PROFESIONAL. (opcional);¿Tienen utilidad las correcciones que se hacen a las actividades entregadas?;¿Te parece bien ser evaluado trimestralmente con varios instrumentos de evaluación, (ejercicios, trabajos, test, supuestos prácticos, pruebas objetivas)?;¿Preferirías ser evaluado con una única prueba objetiva, (práctica y/o teórica) al trimestre?;¿Las preguntas de los exámenes, (teóricas/prácticas), han sido, previamente,  explicadas en clase?;¿Consideras objetivo, imparcial y justo el sistema de evaluación y calificación empleados?;¿Consideras objetivo, imparcial y justo el sistema de evaluación y calificación empleados?2;¿Cambiarías el sistema de evaluación y calificación empleados el módulo?;VALORACIÓN DEL -BLOQUE 4-    SISTEMA DE EVALUACIÓN-CALIFICACIÓN EN EL MÓDULO.;OBSERVACIONES - BLOQUE 4 - CSISTEMA DE EVALUACIÓN-CALIFICACIÓN EN EL MÓDULO. (opcional);SATISFACCIÓN FINAL DEL ÁMBITO/MÓDULO
11;1/30/24 9:35:07;1/30/24 9:39:24;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;;No;Si;Si;Si;4;El portal de educación y las aulas están muy mal echas y da muchos problemas;Si;Si;No;Si;Si;Si;Si;4;;5
12;1/30/24 9:34:35;1/30/24 9:39:28;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;demasiado temario ;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;muy bonica;Si;Si;Si;Si;4;muy maja;Si;Si;Si;Si;Si;Si;No;4;;5
13;1/30/24 9:34:59;1/30/24 9:39:38;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;;Si;Si;Si;Si;5;;Si;Si;Si;Si;Si;Si;No;5;;5
14;1/30/24 9:37:15;1/30/24 9:39:52;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;4;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;;Si;Si;Si;Si;4;;Si;Si;Si;Si;Si;Si;Si;5;;5
15;1/30/24 9:35:41;1/30/24 9:40:22;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;4;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;4;;No;Si;No;No;3;;Si;Si;Si;Si;No;Si;Si;4;;4
16;1/30/24 9:35:29;1/30/24 9:40:24;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;No;No;SI;SI;No;Si;Si;Si;Si;5;;No;No;No;No;1;;No;Si;Si;No;Si;Si;Si;3;;2
17;1/30/24 9:35:57;1/30/24 9:40:37;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;4;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;4;;No;Si;No;No;4;;Si;Si;No;Si;No;No;Si;4;Los sistemas de evaluación deberían ser imparciales en todos los módulos y en algunos la opinión del profesor sobre el alumno puede influir;4
18;1/30/24 9:35:32;1/30/24 9:41:31;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;4;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;;Si;Si;Si;Si;5;;Si;Si;Si;Si;Si;Si;Si;4;;4
19;1/30/24 9:35:01;1/30/24 9:42:57;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;4;Me gusta mucho la asignatura ;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;Lo hace bien ;No;Si;Si;Si;4;Bien ;Si;Si;Si;Si;Si;Si;No;4;;4
20;1/30/24 10:32:28;1/30/24 10:33:35;anonymous;;Fundamentos Agronómicos.;Si;Si;Si;Si;Si;Si;4;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;4;;Si;Si;Si;Si;4;;Si;Si;Si;Si;Si;Si;Si;4;;4
21;1/30/24 10:32:23;1/30/24 10:33:47;anonymous;;Fundamentos Agronómicos.;No;No;No;No;No;No;3;Bueno ;Si;No;No;No;No;No;No;No;No;No;No;No;3;Bueno;No;No;No;No;3;Bueno;Si;No;Si;No;Si;No;Si;3;Bueno;3
22;1/30/24 10:32:35;1/30/24 10:34:21;anonymous;;Fundamentos Agronómicos.;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;;Si;Si;Si;Si;5;;Si;Si;No;Si;Si;Si;Si;5;;5
23;1/30/24 10:32:36;1/30/24 10:35:04;anonymous;;Fundamentos Agronómicos.;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;SI;SI;SI;No;No;No;Si;Si;Si;4;;Si;Si;Si;Si;5;;Si;Si;Si;Si;Si;Si;Si;5;;3
24;1/30/24 10:32:31;1/30/24 10:35:08;anonymous;;Fundamentos Agronómicos.;Si;Si;Si;Si;Si;Si;4;;Si;SI;SI;SI;SI;SI;SI;No;Si;Si;Si;Si;4;En mi opinión se dan los temas a una velocidad demasiado acelerada;Si;Si;Si;Si;3;;Si;Si;No;Si;No;No;Si;4;;4
25;1/30/24 10:32:21;1/30/24 10:35:13;anonymous;;Fundamentos Agronómicos.;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;SI;SI;SI;SI;Si;No;No;Si;No;4;;No;Si;Si;Si;4;;Si;Si;No;Si;No;No;Si;3;;4
26;1/30/24 10:32:57;1/30/24 10:35:24;anonymous;;Fundamentos Agronómicos.;Si;Si;Si;Si;Si;Si;3;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;4;;Si;Si;Si;Si;4;;Si;Si;Si;Si;Si;Si;Si;3;;3
27;1/30/24 10:32:23;1/30/24 10:35:42;anonymous;;Fundamentos Agronómicos.;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;SI;No;SI;SI;Si;Si;Si;Si;Si;3;;Si;Si;Si;Si;4;;Si;Si;Si;Si;Si;Si;No;4;;4
28;1/30/24 10:33:43;1/30/24 10:35:45;anonymous;;Fundamentos Agronómicos.;Si;Si;Si;Si;Si;Si;5;;Si;No;No;SI;SI;SI;SI;Si;Si;Si;Si;Si;4;;Si;Si;Si;Si;5;;Si;Si;Si;Si;Si;Si;Si;5;;5
29;1/30/24 10:32:39;1/30/24 10:36:05;anonymous;;Fundamentos Agronómicos.;Si;Si;Si;Si;Si;Si;4;;Si;SI;SI;SI;SI;SI;SI;Si;No;Si;Si;Si;4;;No;Si;Si;No;4;;Si;Si;Si;Si;Si;Si;Si;3;;4
